Last Name,First Name,2017,2019,2024
Gabaldon,Toni,X,X,X
Montserrat,Jordi Paps,X,X,X
Leonard,Guy,X,,
Handely,Scott,X,X,X
Karnkowska,Anna,,X,X
Marcet-Houben,Marina,X,X,X
Rokas,Antonis,X,X,X
Zhou,Xiaofen,X,X,
Heath,Tracy,X,X,
Swofford,David,X,,
Bielawski,Joseph,X,,
Kubatko,Laura,X,X,
Hahn,Matthew,X,,
Scornavacca,Celine,X,X,
Crotty,Stephen,,X,
dos Reis,Mario,,X,
Garamszegi,Laszlo,,X,
Stajich,Jason,,X,
Kolisko,Martin,,,
Szollosi,Gergely,,X,X
Martinez-Redondo,Gemma,,,X
Steffen,Karin,,,X
Fernandez,Rosa,,,X
Steenwyk,Jacob,,X,X
Karlicki,Michal,,,X
Ocana-Pallares,Eduard,,,X
Gascuel,Olivier,,,X
Molloy,Erin,,,X
Kozlov,Oleksiy,,,X
Morton,Helene,,,X
Christmas,Matthew,,,X
McLysaght,Aoife,,,X
Dudas,Gytis,,,X
Pokorny,Lisa,,,X
