Last Name,First Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Count
Handley,Scott,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,14
Zody,Mike,,X,X,X,X,X,X,X,X,X,,X,X,,X,12
Chikhi,Rayan,,,X,X,X,X,X,X,X,X,,X,X,X,X,12
Wheat,Chris,,,,X,X,X,X,X,X,X,,X,X,X,X,11
Leonard,Guy,,,,X,X,X,X,X,X,X,,X,X,X,X,11
Paris,Josephine,,,,,X,X,X,X,X,X,,X,X,X,X,10
Eichler,Evan,X,,,X,X,X,X,X,,X,,,X,X,X,10
Ahren,Dag,,,,,X,X,X,X,X,X,,X,,X,X,9
Dyhrman,Sonya,,,,,,X,X,X,X,X,,X,X,X,X,9
Haas,Brian,,,,,,X,X,X,X,X,,X,X,X,X,9
Catchen,Julian,,X,X,X,X,X,X,X,X,,,,,,,8
Rokas,Antonis,X,X,X,X,X,X,,X,X,,,,,,,8
Cresko,Bill,,,X,X,X,X,X,X,X,,,,,,,7
McDonald,Daniel,,,X,X,X,X,X,X,X,,,,,,,7
Shaw,Sophie ,,,,X,X,X,X,,X,X,,X,,,,7
Garber,Manuel,X,X,X,X,X,,,,,,,,,,,5
Paszkiewicz,Konrad,,,X,X,X,X,X,,,,,,,,,5
Rengefors,Karin,,,X,X,X,X,X,,,,,,,,,5
Limasset,Antoine,,,,,,,,,,X,,X,X,X,X,5
Marchet,Camille,,,,,,,,,,X,,X,X,X,X,5
Rodriguez Ezpeleta,Naiara,,,X,X,X,X,,,,,,,,,,4
Barnett,David,,,,,,,,,,,,X,X,X,X,4
Griffith,Malachi,,,,,,,,,X,X,,X,,,,3
Ferrer Obiol,Joan,,,,,,,,,,,,,X,X,X,3
Garrison,Erik,,,,,,,,,,,,,X,X,X,3
Hoff,Katharina,,,,,,,,,,,,,X,X,X,3
Montoliu Nerín,Mercè,,,,,,,,,,,,,X,X,X,3
Sedlazeck,Fritz,,,,,,,,,,,,,X,X,X,3
Steward,Rachel,,,,,,,,,,,,,X,X,X,3
Uliano-Silva,Marcela,,,,,,,,,,,,,X,X,X,3
Cummings,Michael,X,X,,,,,,,,,,,,,,2
Kamoun,Sophien,,X,,,X,,,,,,,,,,,2
McMurdie,Paul,,,,,,X,X,,,,,,,,,2
Ponting,Chris,X,,X,,,,,,,,,,,,,2
Trucchi,Emiliano,,,,,,,,,,X,,X,,,,2
Cicconardi,Francesco,,,,,,,,,,,,,X,,X,2
Fernández,Rosa,,,,,,,,,,,,,X,X,,2
